Time;RRHs_ativos;Energy_OS;Solve_time_OS;Cloud_use;Fog_Use;Lambdas;Fog_traffic;Total_Traffic;Lambda_usage;Atraso;Energia_correta;Bloqued;Activated_nodes;CPU_Wastage
0;5;940.0;0.16020584106445312;1;0;1;0.0;9830;0.983;2.7676500000000002e-05;620.0;0;1;33.3
1;10;960.0;0.2775452136993408;1;0;2;0.0;19660;0.983;2.91765e-05;640.0;0;1;70.0
2;15;980.0;1.6570498943328857;1;0;3;0.0;29490;0.983;3.0676500000000004e-05;660.0;0;1;90.2
3;20;1000.0;1.917815923690796;1;0;4;0.0;39320;0.983;3.21765e-05;680.0;0;1;85.6
4;25;1075.0;3.7245171070098877;1;1;5;9415.8;49150;0.983;3.21765e-05;1000.0;0;2;91.5
5;30;1170.0;4.836089134216309;1;1;6;19193.2;58980;0.983;3.36765e-05;1020.0;0;2;93.5
6;35;1570.0;36.330687046051025;1;2;7;28983.6;68810;0.983;2.7004333333333335e-05;1340.0;0;3;94.9
7;40;1670.0;500.0129430294037;1;2;8;38805.999999999985;78640;0.983;2.8504333333333338e-05;1360.0;0;3;98.2
